contigs	predictions	scores
k79_60987	2;1239;526524;526525;2810280;2678885;1982626	1.0;0.99997;0.99993;0.99993;0.99769;0.99767;0.99767
k79_85356	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_60991	2;976;200643;171549;815;909656;387090	1.0;1.0;1.0;1.0;0.99998;0.99991;0.9999
k79_73181	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;1.0;1.0;0.99978;0.99978;0.99977;0.99977;0.99955
k79_85358	2;1239;186801;3085636;186803;2944193;2763672	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48807	2;1239;186801;3085636;186803;2316020;33039;657313	1.0;1.0;1.0;1.0;1.0;0.99996;0.99996;0.99996
k79_73184	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_73185	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;0.99998;0.99998
k79_85362	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;0.99994;0.9999;0.99989;0.99989;0.98352;0.98352;0.9693
k79_61000	2;1239;186801;3085636;186803;2316020;33039;657313	1.0;1.0;1.0;1.0;1.0;0.99994;0.99993;0.99993
k79_73187	2;1239;186801;186802;216572;2834348;2666138	1.0;1.0;1.0;0.99999;0.99999;0.99999;0.99999
k79_85369	2;1239;526524;526525;2810280;2678885;1982626	1.0;0.99998;0.99998;0.99998;0.99998;0.99998;0.99998
k79_24470	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48811	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24471	2;1239;186801;3085636;186803;2316020;33039;657313	1.0;1.0;1.0;1.0;1.0;0.9999;0.9999;0.9999
k79_73195	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36688	2;1239;186801;3085636;186803;2316020;46228;471875	1.0;1.0;1.0;1.0;1.0;0.99998;0.99998;0.99998
k79_95	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_85374	2;1239;186801;186802;216572;1263;2608920	1.0;1.0;1.0;1.0;1.0;1.0;0.99999
k79_24475	2;1239;186801;186802;216572;216851;853;718252	1.0;0.99308;0.99307;0.96221;0.96216;0.79686;0.75018;0.75007
k79_96	2;976;200643;171549;815;816;3117552	1.0;1.0;1.0;1.0;1.0;1.0;0.99995
k79_73201	2;1239;186801;3085636;186803;2316020;33038	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_73204	2;1239;186801;3085636;186803;2316020;46228;471875	1.0;1.0;1.0;1.0;1.0;0.99999;0.99999;0.99999
k79_36700	2;976;200643;171549;815;816	1.0;0.99976;0.99975;0.99945;0.94277;0.501
k79_85386	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;1.0;1.0;0.99995;0.99995;0.99994;0.99994;0.9999
k79_12302	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;1.0;1.0;0.99994;0.99994;0.99994;0.99994;0.99991
k79_102	2;1239;186801;186802;31979;1485;1561;1415775	0.9999;0.99987;0.99947;0.99944;0.99944;0.99942;0.99917;0.99917
k79_85388	2;976;200643;171549;815;816;28111	1.0;0.99996;0.99996;0.99996;0.99996;0.99996;0.99996
k79_61018	2;1239;186801;186802;216572;1263;2608920	1.0;0.99996;0.999;0.999;0.99873;0.99873;0.99873
k79_106	2;1239;186801;3085636;186803;2719313;208479	1.0;1.0;0.99999;0.99979;0.99979;0.99979;0.99978
k79_36709	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;0.99999;0.99999
k79_85394	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;1.0;1.0;0.99999;0.99999;0.99999;0.99999;0.8591
k79_73213	2;1239;526524;526525;2810280;2678885;1982626	1.0;0.99999;0.99999;0.99999;0.99999;0.99999;0.99999
k79_108	2;1239;526524;526525;2810280;2678885;1982626	0.99992;0.99974;0.9952;0.9952;0.9952;0.99518;0.99518
k79_36714	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;0.99995;0.99994;0.99994;0.99994;0.99994;0.99994;0.93446
k79_48818	2;1239;186801;3085636;186803;1766253;39491;657318	0.98584;0.97527;0.97389;0.95897;0.95896;0.95818;0.95818;0.9573
k79_24489	2;1239;526524;526525;2810280;2678885;1982626	0.99986;0.99979;0.99973;0.99973;0.99973;0.99972;0.99972
k79_116	2;1239;91061;1385;186817;1386;1839798	0.99869;0.9956;0.98496;0.98493;0.98415;0.98414;0.98408
k79_12313	2;976;200643;171549;815;816;329854	1.0;1.0;1.0;1.0;1.0;1.0;0.99985
k79_36720	2;1239;186801;3085636;186803;830;831	0.99731;0.99706;0.99532;0.90811;0.90811;0.90806;0.90806
k79_73224	2;1239	0.78857;0.63333
k79_73225	2;976;200643;171549;815;909656;821	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_61027	2;74201;203494;48461;1647988;239934;239935	0.99889;0.90168;0.90168;0.90168;0.90168;0.90168;0.90167
k79_85408	2;976;200643;171549;815;816;28116	1.0;1.0;1.0;1.0;0.99998;0.99998;0.99986
k79_132	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_85413	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;1.0;1.0;1.0;1.0;0.99994;0.99994;0.99992
k79_85424	2;976;200643;171549;815;909656;387090	1.0;0.99998;0.99991;0.99991;0.99981;0.99138;0.99138
k79_24509	2;1239;186801;3085636;186803;2316020;46228;471875	1.0;0.99999;0.99999;0.99999;0.99999;0.99987;0.99987;0.99987
k79_141	2759;7711;40674;9443;9604;9605;9606	0.99807;0.99807;0.99807;0.99807;0.99807;0.99807;0.99807
k79_12326	2;1239;186801;3085636;186803;2316020;46228;471875	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36752	2;1239;186801;186802;216572;1263;2608920	1.0;1.0;1.0;1.0;1.0;0.99999;0.99999
k79_85429	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_144	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48825	2;1239;186801;3085636;186803;572511;2479767	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24519	2;976;200643;171549;815;909656;821	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36758	2;1239;186801;3085636;186803;841;166486;718255	1.0;1.0;1.0;1.0;1.0;0.9998;0.9997;0.99949
k79_150	2;1239;186801;186802;216572;216851;853;657322	1.0;1.0;1.0;0.99996;0.99996;0.99996;0.99984;0.9952
k79_48833	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99953
k79_61042	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;0.99998;0.99998
k79_157	2;74201;203494;48461;1647988;239934;239935	0.99998;0.51615;0.51615;0.51615;0.51615;0.51615;0.51615
k79_36773	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;0.99999;0.99999
k79_61046	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36780	2157;28890;183925;2158;2159;2172;2173;420247	0.99996;0.99996;0.99996;0.99996;0.99996;0.99996;0.99215;0.99215
k79_159	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48846	2;976;200643;171549;171550;239759;2585118	1.0;0.99992;0.99992;0.99992;0.9998;0.9998;0.9998
k79_167	2;976;200643;171549;815;816;818	0.99996;0.99995;0.99994;0.99994;0.99993;0.99965;0.99507
k79_24533	2157;28890;183925;2158;2159;2172;2173;420247	1.0;1.0;1.0;1.0;1.0;1.0;0.99938;0.99938
k79_36783	2157;28890;183925;2158;2159;2172;2173;420247	1.0;1.0;1.0;1.0;1.0;1.0;0.99986;0.99986
k79_85479	2;1239;186801;186802;216572;2892396;2714355	1.0;0.99999;0.99999;0.99994;0.99994;0.9999;0.9999
k79_73266	2;1239;909932;1843488;909930;33024;33025	1.0;0.99999;0.99999;0.99999;0.99999;0.99999;0.99999
k79_36785	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24547	2;1239;186801;3085636;186803;207244;649756;649757	1.0;1.0;0.99997;0.99997;0.99997;0.99997;0.99997;0.99997
k79_85485	2;1224;1236;135625;712;146805;97481	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24550	2;1239;526524;526525;2810280;2678885;1982626	1.0;0.99985;0.9998;0.9998;0.9998;0.99978;0.99978
k79_73270	2;1239;186801;186802;216572;1263;2608920	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12385	2;1239;186801;186802;31979;1485;2930219	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36797	131567	1.0
k79_85487	2;1239;186801;186802;216572;1263;2608920	1.0;1.0;1.0;0.99999;0.99999;0.99999;0.99999
k79_24557	2;976;200643;171549;2005525;375288;823;999416	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48853	2157;28890;183925;2158;2159;2172;2173;420247	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_73276	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_198	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_85492	2;1239;186801;3085636;186803;207244;649756;649757	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48860	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12401	2;976;200643;171549;2005525;375288;823;999416	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_204	2;976;117743;200644;49546;52959;1888915	1.0;0.98273;0.98273;0.98273;0.98273;0.98273;0.98273
k79_61098	2;1239;186801;186802;31979;1485;1216932	0.99993;0.99992;0.99992;0.99992;0.9994;0.9994;0.9994
k79_36803	2;976;200643;171549;815;816;817;862962	0.99965;0.99828;0.99828;0.99828;0.99827;0.99823;0.99822;0.99822
k79_36804	2;1239;186801;3085636;186803;207244;649756;649757	1.0;0.99999;0.99999;0.98811;0.98811;0.98803;0.98803;0.98803
k79_12406	2;1239;186801;3085636;186803;841;166486;718255	0.99998;0.99989;0.99984;0.99984;0.99984;0.995;0.99473;0.99004
k79_85518	2;1239;186801;186802;31979;1485;1216932	1.0;1.0;1.0;1.0;1.0;1.0;0.99989
k79_24569	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48870	2;1239;186801;186802;216572;1263;2608920	1.0;0.99999;0.99997;0.99997;0.99989;0.99989;0.99988
k79_36814	2157;28890;183925;2158;2159;2172;2173;420247	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24576	2;976;200643;171549;815;909656;821	0.99993;0.99987;0.99987;0.99987;0.99987;0.99983;0.99983
k79_217	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;0.99999;0.99999;0.99998;0.99998;0.99996;0.99987;0.99987
k79_12420	2;1239;186801;186802;216572;216851;2929489	1.0;0.99994;0.99994;0.9999;0.9999;0.99985;0.99932
k79_24577	2;1239;186801;186802;216572;1263;2608920	1.0;0.99957;0.99944;0.95152;0.95151;0.95151;0.95141
k79_36821	2;1239;526524;526525;2810280;2678885;1982626	1.0;0.99998;0.99998;0.99998;0.99974;0.99974;0.99974
k79_61131	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;0.99996;0.99996
k79_24581	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;0.86771;0.86731;0.86729;0.86729;0.86495;0.86495;0.86058
k79_36822	2;1239;186801;3085636;186803;207244;649756;649757	0.99994;0.9998;0.96257;0.96251;0.96251;0.96251;0.96251;0.96251
k79_73286	2;1239;186801;3085636;186803;572511;2877527	0.99987;0.99972;0.9997;0.9997;0.9997;0.97731;0.96507
k79_48891	2157;28890;183925;2158;2159;2172;2173;420247	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_73290	2;1239;909932;1843489;31977;39948	1.0;1.0;1.0;0.99999;0.99999;0.99999
k79_12443	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;0.99995;0.99995;0.99985;0.99984;0.99984
k79_48895	2;1239;91061;1385;186817;2675232;2963105	1.0;1.0;0.99999;0.99999;0.99999;0.99999;0.99999
k79_36826	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;0.99999;0.99999;0.99998;0.99996;0.99996
k79_24601	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;1.0;1.0;1.0;1.0;0.99999;0.99999;0.98536
k79_85555	2;1239;526524;526525;2810280;2678885;1982626	1.0;0.99998;0.99998;0.99998;0.99998;0.99998;0.99998
k79_73296	2;1239;1737404;1737405;1737406;41273;3035694	1.0;0.99999;0.99983;0.99983;0.99983;0.99983;0.99983
k79_36831	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;0.99999;0.99999;0.99998;0.99998;0.99998
k79_73298	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_61142	2;976;200643;171549;815;816;2785531	1.0;0.99999;0.99999;0.99999;0.99999;0.99999;0.9997
k79_12456	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_73301	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36833	2;1239;186801;186802;31979;1266;2726954	0.99989;0.99978;0.99976;0.99972;0.99972;0.99963;0.99963
k79_73302	2;1239;186801;3085636;186803;2316020;46228;471875	1.0;1.0;1.0;0.99999;0.99999;0.99999;0.99999;0.99999
k79_73306	2;976;200643;171549;2005525;375288;823;999416	1.0;1.0;1.0;1.0;0.99988;0.99988;0.99987;0.99987
k79_85573	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24607	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;0.99999;0.99999;0.99999
k79_12465	2;1239;186801;3085636;186803;2316020;46228;471875	1.0;1.0;1.0;1.0;1.0;1.0;0.99999;0.99999
k79_24609	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12467	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_226	2;1224;1236;91347;543;544;1639133	0.99993;0.99964;0.99964;0.99964;0.99964;0.99964;0.99964
k79_36840	2;976;200643;171549;815;816;818	0.99999;0.99984;0.99984;0.99983;0.99983;0.9998;0.99872
k79_233	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;0.99966;0.99966
k79_24622	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99807
k79_234	2;1239;186801;3085636;186803;33042;410072	1.0;0.99998;0.99998;0.99998;0.99998;0.99989;0.99989
k79_85588	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12479	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;0.99999;0.99999;0.99998;0.99998
k79_36843	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;0.99999;0.99999;0.99998;0.99998;0.99996;0.99996;0.99898
k79_73331	2;976;200643;171549;815;909656;387090	1.0;1.0;1.0;1.0;1.0;0.99988;0.99987
k79_24631	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12483	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_242	2;1239;909932;1843488;909930;33024;33025	0.99203;0.89763;0.62729;0.62443;0.62443;0.62443;0.62443
k79_48924	2;1239;186801;186802;216572;1263;1160721	0.99983;0.98968;0.98943;0.9736;0.97356;0.97343;0.86975
k79_48925	2;1224;1236;118969;444;445;29423;1268635	1.0;0.99995;0.99995;0.99995;0.99995;0.99995;0.99995;0.99995
k79_36857	2;1239;526524;526525;2810280;2678885;1982626	1.0;0.99999;0.99999;0.99999;0.99999;0.99999;0.99999
k79_12500	2;1239;186801;3082720;186804;1501226;1507512	1.0;1.0;1.0;0.99999;0.99999;0.99999;0.99999
k79_36863	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;0.99905;0.99905;0.99905;0.99905;0.99905
k79_85599	2;1239;186801;3085636;186803	0.99986;0.90066;0.87046;0.87031;0.87031
k79_12501	2157;28890;183925;2158;2159;2172;2173;420247	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24651	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12503	2;1239;186801;3085636;186803;207244;649756;649757	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_73347	2;1239;526524;526525;2810280;2678885;1982626	0.99948;0.99839;0.92473;0.92473;0.92473;0.92473;0.92473
k79_61183	2;1239;186801;186802;216572;1263;2608920	0.99998;0.94904;0.94904;0.94836;0.94825;0.94824;0.91901
k79_36879	2;976;200643;171549;2005525;375288;823;999416	1.0;1.0;1.0;1.0;0.99999;0.99999;0.99999;0.99999
k79_73348	2;1239;186801;186802;216572;1263;2608920	0.99999;0.99999;0.99998;0.99628;0.99626;0.99626;0.95971
k79_12521	2;1239;186801;3085636;186803;841;166486;718255	0.99998;0.99997;0.99996;0.99996;0.99996;0.99977;0.99893;0.99828
k79_24655	2;1239;186801;3085636;186803;572511	0.99999;0.99945;0.99927;0.99892;0.99892;0.50942
k79_85609	2;1239;186801;3085636;186803;841;301301	1.0;1.0;0.99966;0.99965;0.99965;0.99965;0.99965
k79_36886	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36887	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;0.99999;0.99999;0.99997;0.99997;0.99997;0.99997;0.68532
k79_85613	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24660	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_73359	2;1239;186801;3085636;186803;572511;89014	0.99998;0.99835;0.99787;0.98271;0.98271;0.79376;0.76984
k79_48948	2;1239;186801;186802;216572;2892396;2714355	1.0;0.99207;0.98961;0.98113;0.98111;0.97156;0.95174
k79_271	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
