contigs	predictions	scores
k79_12086	2;1239;186801;186802;216572;216851;853;718252	1.0;1.0;1.0;1.0;1.0;1.0;0.99987;0.99985
k79_84439	2;1239;186801;3085636;186803;2316020;33039;657313	1.0;1.0;1.0;1.0;1.0;0.99998;0.99998;0.99998
k79_12088	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24136	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12089	2;976;200643;171549;171550;239759;328813;2585117	1.0;1.0;1.0;1.0;1.0;1.0;0.99892;0.99892
k79_36208	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_63	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99297
k79_60306	2;1239;186801;3085636;186803;207244;649756;649757	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48287	2;1239;186801;186802;216572;1263;657323	1.0;1.0;1.0;0.9985;0.9985;0.9985;0.9985
k79_84444	2;1224;28216;80840;80864;52972;2638319	0.9999;0.60863;0.60259;0.60256;0.60255;0.60255;0.60255
k79_36210	2;1224;28211;3120395;433;434;438	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_65	2;1239;186801;186802;216572;1263;1160721	1.0;0.99989;0.99989;0.99986;0.99986;0.99984;0.9996
k79_48288	2;1239;186801;3085636;186803;572511;2479767	1.0;1.0;1.0;0.99989;0.99989;0.99989;0.99989
k79_67	2;1239;186801;3085636;186803;2316020;46228;471875	1.0;1.0;1.0;0.99996;0.99996;0.9999;0.99897;0.99897
k79_60307	2;1239;186801;3085636;186803;189330;88431	1.0;0.9998;0.99977;0.99974;0.99974;0.99617;0.99616
k79_36213	2;1239;186801;3085636;186803;2316020;46228;471875	1.0;1.0;1.0;1.0;1.0;0.99999;0.99999;0.99999
k79_24152	2;1239;186801;3085636;186803;189330;39486	0.99999;0.99993;0.99993;0.99993;0.99993;0.99941;0.99687
k79_12097	2;1239;186801;3085636;186803;2569097;39488	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12098	2;976;200643;171549;815;816;28116	1.0;1.0;1.0;1.0;1.0;1.0;0.99999
k79_36217	2;1239;186801;3085636;186803;2316020;33039;657313	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24153	2;1239;186801;3085636;186803;572511;2479767	1.0;1.0;1.0;0.9991;0.9991;0.9991;0.99909
k79_84450	2;1239;186801;3085636;186803;189330;88431	1.0;0.99998;0.99997;0.99993;0.99993;0.98486;0.98468
k79_48299	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_60311	2;1239;186801;3085636;186803;2569097;39488	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24156	2157;28890;183925;2158;2159;2172;2173;420247	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12106	2;976;200643;171549;171550;239759;214856;679935	0.99993;0.98806;0.98806;0.98806;0.98806;0.98806;0.95412;0.95412
k79_24158	2;1239;186801;3085636;186803;207244;649756;649757	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48301	2;201174;1760;85009;85015;2044;2045	1.0;0.99995;0.99995;0.99995;0.99995;0.99995;0.99995
k79_48303	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;0.99997;0.99995;0.99952;0.99952;0.98966;0.96717;0.96717
k79_84460	2;1239;91061;1385;186817;2685905;2743000	1.0;0.9807;0.88364;0.88364;0.8836;0.8836;0.8836
k79_60315	2;1239;186801;3085636;186803;33042;116085	1.0;0.99938;0.99863;0.9986;0.9986;0.99451;0.99215
k79_36231	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_78	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_84465	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;0.99998;0.99998;0.99998;0.99998;0.99998
k79_24164	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;0.99999;0.99999;0.99994;0.99994;0.99902;0.99902;0.98267
k79_36233	2;976;200643;171549;2005525;375288;823;435591	1.0;0.99999;0.99999;0.99999;0.99956;0.99956;0.99924;0.99924
k79_84469	2;976;200643;171549;815;909656;821	1.0;1.0;1.0;1.0;0.99998;0.99991;0.99991
k79_12122	2;976;200643;171549;171552;2974251;165179;537011	1.0;1.0;1.0;1.0;0.99999;0.99991;0.99991;0.99991
k79_48307	2;201174;1760;85008;28056;1873;1420889	1.0;0.99998;0.99998;0.99998;0.99998;0.99998;0.99998
k79_12124	2;1239;186801;186802;216572	0.89388;0.52558;0.52438;0.51843;0.51839
k79_36235	2;1239;186801;186802;216572;216851;853;657322	1.0;0.99991;0.99991;0.99947;0.99923;0.99877;0.9987;0.94673
k79_72343	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24169	2;1239;186801;3085636;186803;2569097;39488	0.99954;0.99053;0.98891;0.9888;0.9888;0.97268;0.97268
k79_48310	2;1239;186801;3085636;186803;572511;2479767	1.0;1.0;0.99999;0.99392;0.99392;0.99384;0.75402
k79_36237	2;976;200643;171549;815;816;28111	1.0;1.0;1.0;1.0;0.99998;0.99998;0.99998
k79_84476	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.98997
k79_24173	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;0.99998;0.99995;0.8551;0.8551
k79_60330	2;1239;186801;3085636;186803;2569097;39488	1.0;1.0;1.0;1.0;1.0;0.99999;0.99999
k79_48312	2;1239;186801;3085636;186803;189330;88431	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12130	2;1239;186801;3085636;186803;2569097;39488	0.99996;0.84831;0.84827;0.84733;0.84733;0.80138;0.80138
k79_36241	2;201174;1760;85007;1653;1716;598660	1.0;0.9993;0.9993;0.9993;0.9993;0.9993;0.9993
k79_60331	2;74201;203494;48461;1647988;239934;239935;349741	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48317	2;1239;91061;186826;1300;1301;1307;423211	1.0;1.0;0.99999;0.99999;0.99999;0.99999;0.99999;0.99999
k79_72355	2;1239;186801;3085636;186803;28050;39485;515620	1.0;0.99994;0.99994;0.99994;0.99994;0.9999;0.9999;0.9999
k79_12133	2157;28890;183925;2158;2159;2172;2173;420247	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24176	2;1239;186801;3085636;186803;189330;88431	1.0;1.0;1.0;0.99996;0.99996;0.98215;0.98215
k79_84479	2;1239;186801;186802;216572;253238;253239	0.99999;0.9998;0.99959;0.99957;0.99948;0.99902;0.99902
k79_60334	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99851
k79_84480	2;1239;186801;186802;216572;2892396;2714353	1.0;1.0;1.0;1.0;1.0;0.99957;0.99943
k79_36249	2;1239;186801;3085636;186803;33042;410072;470146	1.0;0.99998;0.99998;0.99987;0.99987;0.95092;0.95092;0.95092
k79_48324	2;976;200643;171549;2005525;375288;823;435591	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_60338	2;1239;186801;186802;216572;292632;214851	1.0;0.99999;0.99999;0.99999;0.99999;0.99997;0.99997
k79_84482	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99472
k79_72362	2;976;200643;171549;815;909656;821	1.0;1.0;1.0;1.0;1.0;0.99971;0.99971
k79_24177	2;1239;186801;3085636;186803;189330;39486	1.0;1.0;1.0;0.99997;0.99997;0.9856;0.9856
k79_12139	2;1239;186801;3085636;186803;572511;2479767	1.0;1.0;1.0;0.9989;0.9989;0.9989;0.9989
k79_83	2;1239;186801;186802;216572;1263;2608920	1.0;1.0;0.99967;0.99967;0.99967;0.99967;0.96935
k79_84487	2;976;200643;171549;815;816;818	1.0;0.99999;0.99999;0.99999;0.99897;0.99807;0.88085
k79_48325	2;1239;186801;186802;216572;1905344;1550024	1.0;1.0;1.0;1.0;1.0;0.99991;0.99991
k79_24184	2;1239;186801;3085636;186803;2569097;39488	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_72364	2;1224;28211;362534;1331809;288021;2829597	1.0;0.90743;0.90741;0.90732;0.90732;0.90732;0.90732
k79_60346	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99991
k79_36259	2;1224;28216;80840;119060;93217;2624094	1.0;0.5203;0.51857;0.51853;0.51835;0.51834;0.51834
k79_12141	2	0.9123
k79_72366	2;1239;909932;1843488;909930;33024;33025	0.99987;0.99987;0.99986;0.99986;0.99986;0.99986;0.99986
k79_60347	2157;28890;183925;2158;2159;2172;2173;420247	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_84493	2;1239;186801;3085636;186803;572511;40520;657314	1.0;0.99999;0.99997;0.99995;0.99995;0.99884;0.99882;0.99844
k79_93	2;1239;186801;3085636;186803;1766253;39491;657318	0.9997;0.99949;0.99944;0.99942;0.99942;0.9994;0.9994;0.62094
k79_12144	2;1239;186801;186802;216572	0.99942;0.99408;0.9936;0.74732;0.7296
k79_48333	2;1239;91061;1385;186817;2675229;421767	0.9994;0.97195;0.53984;0.53051;0.52862;0.52848;0.52848
k79_24190	2;1239;186801;3085636;186803;33042;410072;470146	1.0;1.0;1.0;1.0;1.0;0.99998;0.99998;0.99998
k79_72372	2;1224;28216;206389;2008794;12960;198107	0.99188;0.53114;0.51618;0.51387;0.51387;0.51387;0.51387
k79_12149	2;1239;186801;186802;216572;1263;657323	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_97	2;1239;186801;186802;216572;2834348;3030016	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_72373	2;1239;186801;3085636;186803;572511;2479767	1.0;1.0;1.0;0.9999;0.9999;0.9999;0.9999
k79_48339	2;1239;186801;3085636;186803;2316020;33039;657313	1.0;0.99999;0.99999;0.99995;0.99995;0.99522;0.99522;0.99522
k79_36273	2;976;200643;171549;815;816;291644	1.0;0.99998;0.99998;0.99998;0.99877;0.95962;0.59511
k79_84502	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12151	2;1239;186801;3085636;186803;572511	0.99999;0.9979;0.9969;0.9928;0.9928;0.66595
k79_48340	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99988
k79_72377	2;1239;186801;3085636;186803;2569097;39488	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24202	2157;28890;183925;2158;2159;2172;2173;420247	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_60356	2;976;200643;171549;815;816;329854	1.0;1.0;1.0;0.99994;0.99994;0.99994;0.93844
k79_84507	2;1239;186801;186802	1.0;0.50286;0.50276;0.50256
k79_24205	2;1239;186801;3085636;186803;2569097;39488	1.0;1.0;1.0;1.0;1.0;0.99991;0.99991
k79_12152	2;976;200643;171549;815;909656;821	1.0;0.99993;0.99992;0.99992;0.59964;0.59365;0.59362
k79_36274	2;976;200643;171549;815;909656;387090	1.0;0.99995;0.99995;0.99995;0.99994;0.99963;0.99948
k79_24206	2;976;200643;171549;815;909656;821	1.0;0.98186;0.98015;0.98015;0.97972;0.65446;0.58423
k79_72382	2;201174;1760;85004;31953;1678;28026;547043	1.0;0.99997;0.99997;0.99997;0.99997;0.99997;0.99997;0.99997
k79_24207	2;976;200643;171549;171550;239759;2585119	1.0;1.0;1.0;1.0;1.0;1.0;0.99998
k79_60366	2;1239;186801;3085636;186803;189330;88431	1.0;1.0;1.0;1.0;1.0;0.99999;0.99999
k79_98	2;976;200643;171549;815;816;162156	1.0;1.0;1.0;1.0;1.0;0.99603;0.99435
k79_24209	2;1239;186801;3085636;186803;841;301301	1.0;1.0;1.0;1.0;1.0;0.99999;0.99999
k79_36276	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48345	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;0.99999;0.99999;0.99999;0.99985;0.98256;0.98256
k79_36277	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_100	2;1239;186801;186802;3082771;1738645;3030017	0.99999;0.99997;0.99994;0.99993;0.99992;0.99992;0.99992
k79_12156	2;1239;186801;186802;216572	0.99459;0.82575;0.76291;0.68198;0.67909
k79_12157	2;1239;186801;3085636;186803;2569097;39488	1.0;0.99961;0.99951;0.99951;0.99951;0.75562;0.75562
k79_48347	2;201174;1760;85007;85026;2053;2995145	1.0;0.99992;0.99992;0.99989;0.99989;0.99989;0.99989
k79_60369	2;1239;186801;3085636;186803;33042;410072;470146	1.0;0.99954;0.99953;0.99953;0.99953;0.99146;0.99146;0.99146
k79_12159	2157;28890;183925;2158;2159;2172;2173;420247	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_84511	2;1239;186801;186802;216572;216851;2929490	1.0;0.99999;0.99999;0.99951;0.99938;0.99935;0.99675
k79_72388	2;1239;186801;186802;216572;216851;853;718252	1.0;0.99996;0.99996;0.99995;0.99995;0.99995;0.99768;0.99666
k79_36278	2;1239;186801;3085636;186803;1766253;39491;657317	0.99614;0.99575;0.97664;0.97362;0.97362;0.72707;0.72707;0.71982
k79_48351	2;1239;186801;3085636;186803;2569097;39488	0.99999;0.93851;0.93847;0.93244;0.93244;0.60506;0.60506
k79_36279	2;1239;186801;3085636;186803;2569097;39488	1.0;1.0;1.0;1.0;1.0;0.99993;0.99993
k79_84513	2;976;200643;171549;815;816;817;862962	1.0;1.0;1.0;1.0;1.0;1.0;0.99898;0.99898
k79_60376	2;1239;186801;3085636;186803;2569097;39488	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_72389	2;1239;186801;186802;3082771;2576755;3110227	1.0;0.99999;0.99999;0.99999;0.99606;0.99606;0.99606
k79_84514	2;976;200643;171549;2005525;375288;823;435591	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_60378	2;74201;203494;48461;1647988;239934;239935;349741	1.0;1.0;1.0;1.0;1.0;1.0;0.99983;0.99983
k79_36285	2;976;200643;171549;171550;239759;328814;717959	0.99999;0.99999;0.99999;0.99999;0.99999;0.99999;0.99998;0.99998
k79_84515	2;201174;1760;85004;31953;1678;1680	1.0;1.0;1.0;1.0;1.0;1.0;0.99987
k79_48353	2;1239;186801;3085636;186803;1766253;39491;657318	0.99981;0.999;0.99853;0.84286;0.84286;0.82274;0.82274;0.82124
k79_12162	2;976;200643;171549;2005525;375288;2951805	1.0;1.0;1.0;1.0;0.99994;0.99994;0.99968
k79_72394	2;1239;186801;3085636;186803;33042;410072;470146	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36293	2;1239;186801;3085636;186803;841;1261635	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_84519	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;0.99996;0.99996;0.99504;0.99466;0.99466
k79_60380	2;1239;186801;3082720;186804;1870884;1496;699032	1.0;1.0;1.0;0.9969;0.9969;0.9969;0.9969;0.9969
k79_24230	2;1239;186801;3085636;186803;572511;2479767	1.0;1.0;1.0;0.99875;0.99875;0.99875;0.99873
k79_60382	2;1239;186801;186802;216572	0.99999;0.98613;0.94048;0.59063;0.54345
k79_48360	2;1239;186801;3085636;186803;2316020;33039;657313	1.0;1.0;1.0;1.0;1.0;0.99994;0.99994;0.99994
k79_84522	2;1239;186801;3085636;186803;2316020;33039;657313	1.0;1.0;1.0;1.0;1.0;0.99647;0.99647;0.99647
k79_60383	2;976;200643;171549;171550;239759;214856;679935	1.0;0.95153;0.95088;0.95088;0.94682;0.94682;0.56978;0.56978
k79_12176	2;1239;186801;186802;216572;1263;2608920	0.99998;0.99975;0.99956;0.82244;0.8136;0.8136;0.73475
k79_72405	2;976;200643;171549;815;816;820;997890	0.99984;0.97881;0.97865;0.97864;0.95941;0.95645;0.95381;0.95381
k79_110	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;0.99997;0.99997
k79_24234	2;976;200643;171549;2005525;375288;823;435591	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_114	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99976
k79_24238	2;1239;186801;3085636;186803;2569097;39488	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12187	2;1239;186801;186802;216572;1263;657323	1.0;1.0;1.0;0.99826;0.99826;0.99826;0.99826
k79_60389	2;1239;91061;1385;90964;2803850;1296	1.0;0.99922;0.99921;0.99921;0.99921;0.99921;0.99921
k79_12189	2;1239;186801;3085636;186803;2316020;33039;657313	1.0;1.0;0.99999;0.99659;0.99659;0.74449;0.71985;0.71985
k79_115	2;1239;186801;3085636;186803;841;166486;657315	1.0;1.0;1.0;1.0;1.0;0.99985;0.99985;0.99985
k79_84523	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;0.99999;0.99999
k79_72418	2;1239;186801;186802;216572;1263;657323	1.0;1.0;1.0;0.99994;0.99994;0.99994;0.99994
k79_36296	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_72419	2;1239;186801;186802;216572;2892396;2714355	1.0;0.99986;0.9998;0.99979;0.99978;0.97561;0.78044
k79_60394	2;74201;203494;48461;1647988;239934;239935;349741	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36299	2;976;200643;171549;171550;239759;328813;2585117	1.0;0.99993;0.99993;0.99993;0.99993;0.99993;0.99905;0.99905
k79_123	2;1239;186801;3085636;186803;33042;410072;470146	1.0;1.0;1.0;1.0;1.0;0.99999;0.99999;0.99999
k79_24240	2;1239;186801;3085636;186803;841;166486;657315	1.0;1.0;0.99984;0.99982;0.99982;0.99953;0.99851;0.99851
k79_60396	2;1224	0.99999;0.56111
k79_36300	2;201174;1760;85004;31953;1678;1686;1447716	1.0;1.0;1.0;1.0;1.0;1.0;0.99998;0.99998
k79_72422	2;976;200643;171549;815;816	1.0;0.99957;0.99955;0.99955;0.98357;0.97865
k79_72423	2;976;200643;171549;2005525;375288;823;435591	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24247	2157;28890;183925;2158;2159;2172;2173;420247	0.99996;0.99996;0.99996;0.99996;0.99996;0.99996;0.99996;0.99996
k79_60401	2;1239;186801;3085636;186803;572511;2479767	1.0;1.0;1.0;1.0;1.0;1.0;0.99992
k79_12204	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_134	2;976;200643;171549;815;909656;821	1.0;1.0;1.0;1.0;0.9992;0.99919;0.99919
k79_84542	2157;28890;183925;2158;2159;2172;2173;420247	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24252	2;1239;186801;186802;216572;1263;1160721	1.0;1.0;1.0;0.99702;0.99702;0.997;0.99694
k79_12209	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;1.0;1.0;1.0;1.0;0.99993;0.99993;0.93521
k79_60406	2;976;200643;171549;815;909656;821	1.0;1.0;1.0;1.0;0.99861;0.99848;0.99847
k79_36309	2;1239;186801;3085636;186803;2569097;39488	0.99916;0.79304;0.79299;0.79279;0.79279;0.76691;0.76691
k79_84544	2;1239;186801;3082720;186804;1870884;1496;499174	1.0;1.0;1.0;0.99998;0.99998;0.99998;0.99998;0.99998
k79_36311	2;1239;186801;3085636;186803;189330;39486	1.0;1.0;1.0;1.0;1.0;0.99996;0.99971
k79_12211	2;1239;186801;3085636;186803;207244;649756;649757	1.0;1.0;1.0;1.0;1.0;0.99998;0.99998;0.99998
k79_60408	2;1239;186801;186802;216572;1905344;1550024	1.0;0.99879;0.95038;0.95028;0.95003;0.94586;0.94586
k79_84546	2;976;200643;171549;171550;239759;214856;679935	1.0;0.99884;0.99884;0.99884;0.99874;0.99873;0.54088;0.54088
k79_24257	2;29547;3031852;213849;72293;209;157268	0.99658;0.57345;0.57345;0.57345;0.57345;0.57345;0.57345
k79_36313	2;976;200643;171549;815;816;817	1.0;0.99999;0.99999;0.99999;0.99598;0.99025;0.59348
